Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability
207572_11;0;11;1;0.55435704707339;1.0;1.0;1.0
207605_7;1;7;0;0.5434272326990881;1.0;1.0;1.0
207632_10;0;10;1;0.6169961531530181;1.0;1.0;1.0
207702_6;0;6;0;0.5280069332246038;1.0;1.0;1.0
207708_8;0;8;0;0.5173431211986921;1.0;1.0;1.0
207708_9;0;9;0;0.5046220124004062;1.0;1.0;1.0
207735_11;0;11;1;0.5552192071686006;1.0;1.0;1.0
207741_9;0;9;1;0.548815966869116;1.0;1.0;1.0
207894_4;1;4;0;0.5314313628598493;1.0;1.0;1.0
208022_13;0;13;0;0.5066611152439953;1.0;1.0;1.0
208028_2;1;2;0;0.5137453428872152;1.0;1.0;1.0
208052_6;1;6;1;0.5317511529651276;1.0;1.0;1.0
208052_7;1;7;1;0.551294131247371;1.0;1.0;1.0
208064_4;0;4;0;0.5236182545035315;1.0;1.0;1.0
208136_14;0;14;1;0.6379448576648256;1.0;1.0;1.0
208190_7;1;7;1;0.534307175501921;1.0;1.0;1.0
208196_12;1;12;0;0.6167640679147992;1.0;1.0;1.0
208241_6;0;6;0;0.5524750560405507;1.0;1.0;1.0
208430_12;0;12;0;0.5135592181039048;1.0;1.0;1.0
208451_3;1;3;0;0.5031754512396891;1.0;1.0;1.0
208556_13;1;13;1;0.5260989301832107;1.0;1.0;1.0
208778_12;1;12;1;0.5374779190609438;1.0;1.0;1.0
208871_4;0;4;0;0.5435231920814518;1.0;1.0;1.0
208997_8;1;8;0;0.585056759400643;1.0;1.0;1.0
209006_12;0;12;1;0.5264642961056661;1.0;1.0;1.0
209078_14;0;14;1;0.5125540518230405;1.0;1.0;1.0
209200_3;0;3;0;0.5399817915799262;1.0;1.0;1.0
209260_10;1;10;1;0.5378685650291667;1.0;1.0;1.0
209419_4;1;4;0;0.534997060541134;1.0;1.0;1.0
209559_9;0;9;1;0.5326268132783702;1.0;1.0;1.0
209619_8;0;8;1;0.5336180401982505;1.0;1.0;1.0
209790_10;0;10;1;0.5651437429196481;1.0;1.0;1.0
209835_10;1;10;1;0.5359543959943508;1.0;1.0;1.0
209939_8;0;8;1;0.545445450833793;1.0;1.0;1.0
210149_8;1;8;0;0.5529390340210681;1.0;1.0;1.0
210206_10;1;10;1;0.5393846017958573;1.0;1.0;1.0
210272_14;1;14;1;0.5299856305897411;1.0;1.0;1.0
210476_7;1;7;1;0.5415528653675876;1.0;1.0;1.0
210497_6;1;6;1;0.5128119313573848;1.0;1.0;1.0
210497_9;1;9;1;0.5163884136851831;1.0;1.0;1.0
210518_11;1;11;1;0.572199935659736;1.0;1.0;1.0
210581_5;0;5;0;0.5174806820429885;1.0;1.0;1.0
210617_5;0;5;0;0.5391245167909962;1.0;1.0;1.0
210659_14;1;14;1;0.5176522696760324;1.0;1.0;1.0
210683_5;1;5;0;0.5521882758534624;1.0;1.0;1.0
210987_4;1;4;0;0.5504821096165575;1.0;1.0;1.0
211155_10;0;10;0;0.5077651074671594;1.0;1.0;1.0
211224_11;1;11;1;0.5164522520447059;1.0;1.0;1.0
211281_5;1;5;0;0.5628880533164304;1.0;1.0;1.0
211357_14;0;14;1;0.6025387760408959;1.0;1.0;1.0
211360_7;0;7;0;0.5317476112011356;1.0;1.0;1.0
211573_4;0;4;0;0.5376768800211794;1.0;1.0;1.0
211721_7;0;7;1;0.5440420516650085;1.0;1.0;1.0
212003_13;1;13;0;0.5171154622893304;1.0;1.0;1.0
212109_9;1;9;0;0.5028679903220494;1.0;1.0;1.0
212298_13;0;13;1;0.5510300660239748;1.0;1.0;1.0
212425_3;1;3;0;0.5062088921360963;1.0;1.0;1.0
212563_13;0;13;1;0.5962705164794161;1.0;1.0;1.0
212692_14;1;14;1;0.5768079001983749;1.0;1.0;1.0
212875_11;1;11;0;0.5213302747319863;1.0;1.0;1.0
213001_13;1;13;1;0.6262133252974986;1.0;1.0;1.0
213019_2;1;2;1;0.5092541469632224;1.0;1.0;1.0
213088_10;1;10;0;0.6270658817908227;1.0;1.0;1.0
213132_4;1;4;0;0.5485818010791461;1.0;1.0;1.0
213432_12;1;12;0;0.654801027308503;1.0;1.0;1.0
213468_3;1;3;0;0.5332652393667614;1.0;1.0;1.0
213705_9;0;9;0;0.5112712157496799;1.0;1.0;1.0
213906_2;1;2;0;0.5223263448359459;1.0;1.0;1.0
213954_6;0;6;0;0.6080602353173022;1.0;1.0;1.0
214142_4;0;4;0;0.5352271941261286;1.0;1.0;1.0
