Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability
918_2;1;2;1;0.999997979323231;1.0;1.0;1.0
921_8;0;8;1;0.9999997021461321;1.0;1.0;1.0
926_10;1;10;1;0.9991792422437279;1.0;1.0;1.0
926_7;1;7;1;0.9660481036052414;1.0;1.0;1.0
930_10;1;10;1;0.6595527816262645;1.0;1.0;1.0
932_5;0;5;0;0.9731253240256025;1.0;1.0;1.0
934_10;0;10;0;0.6956267851033575;1.0;1.0;1.0
934_11;0;11;1;0.5571550063153913;1.0;1.0;1.0
934_13;0;13;1;0.9177285074267764;1.0;1.0;1.0
934_14;0;14;1;0.9748363249593933;1.0;1.0;1.0
934_3;0;3;0;0.5127993400799187;1.0;1.0;1.0
936_12;0;12;0;0.999979891017759;1.0;1.0;1.0
942_11;1;11;1;0.9999992956822277;1.0;1.0;1.0
942_3;1;3;1;0.9999999983565324;1.0;1.0;1.0
944_2;0;2;0;0.8900546283590673;1.0;1.0;1.0
951_7;1;7;1;0.9999996718511743;1.0;1.0;1.0
958_7;0;7;0;0.9998680247368135;1.0;1.0;1.0
960_8;1;8;1;0.5819806551543362;1.0;1.0;1.0
972_10;0;10;1;0.9970198934306839;1.0;1.0;1.0
973_5;0;5;0;0.9999999970111879;1.0;1.0;1.0
974_3;0;3;1;0.990942950051771;1.0;1.0;1.0
975_12;0;12;0;0.9997492528874077;1.0;1.0;1.0
975_6;0;6;0;0.9965835472944471;1.0;1.0;1.0
977_5;1;5;1;0.9999100675440622;1.0;1.0;1.0
978_2;1;2;1;0.9226467757131721;1.0;1.0;1.0
979_3;0;3;1;0.9980598021799413;1.0;1.0;1.0
980_13;1;13;1;0.9989511658980749;1.0;1.0;1.0
981_9;1;9;1;0.9579681156479949;1.0;1.0;1.0
990_8;1;8;1;0.9955424795197457;1.0;1.0;1.0
996_7;0;7;1;0.600614642535433;1.0;1.0;1.0
998_11;1;11;1;0.9999998192589492;1.0;1.0;1.0
