Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability
Case225_6;1;6;1;0.9986507049043678;1.0;1.0;1.0
Case229_4;0;4;0;0.8991611987292136;1.0;1.0;1.0
Case230_2;1;2;1;0.8960693740205063;1.0;1.0;1.0
Case231_4;1;4;1;0.8987888656254143;1.0;1.0;1.0
Case235_8;1;8;1;0.9998528426287308;1.0;1.0;1.0
Case235_9;1;9;1;0.9999999652425496;1.0;1.0;1.0
Case238_12;1;12;1;0.99999999999964;1.0;1.0;1.0
Case238_13;1;13;1;0.9999999999999064;1.0;1.0;1.0
Case238_14;1;14;1;0.9999999999998715;1.0;1.0;1.0
Case239_3;0;3;0;0.8422748931163486;1.0;1.0;1.0
Case239_9;0;9;0;0.9613206647467476;1.0;1.0;1.0
Case240_5;1;5;1;0.914621075825269;1.0;1.0;1.0
Case244_3;1;3;1;0.9999123989910124;1.0;1.0;1.0
Case245_14;1;14;1;0.9999994187266628;1.0;1.0;1.0
Case249_8;1;8;0;0.6392915772587613;1.0;1.0;1.0
Case250_13;0;13;0;0.999997128724011;1.0;1.0;1.0
Case251_10;0;10;0;0.9945442227486344;1.0;1.0;1.0
Case251_14;0;14;0;0.9991581488996564;1.0;1.0;1.0
Case256_10;1;10;1;0.9999999987303524;1.0;1.0;1.0
Case256_14;1;14;1;0.9999999854459928;1.0;1.0;1.0
Case256_5;1;5;1;0.9999999766172964;1.0;1.0;1.0
Case256_7;1;7;1;0.9999998928216436;1.0;1.0;1.0
Case257_13;1;13;1;0.9864647277309786;1.0;1.0;1.0
Case258_10;1;10;1;0.892267911452058;1.0;1.0;1.0
Case259_8;1;8;1;0.9999999995949084;1.0;1.0;1.0
Case263_6;0;6;0;0.9999996905667852;1.0;1.0;1.0
Case264_11;1;11;1;0.9998769936739954;1.0;1.0;1.0
Case265_10;0;10;0;0.999995620030537;1.0;1.0;1.0
Case265_12;0;12;0;0.9999995801349794;1.0;1.0;1.0
Case266_12;1;12;1;0.8072383193660855;1.0;1.0;1.0
Case267_5;1;5;1;0.999999999998977;1.0;1.0;1.0
Case269_11;0;11;0;0.9971300923693646;1.0;1.0;1.0
Case269_12;0;12;0;0.9994254109171352;1.0;1.0;1.0
Case273_8;0;8;0;0.9772397645600636;1.0;1.0;1.0
Case274_3;0;3;0;0.998625707564613;1.0;1.0;1.0
Case27_13;0;13;0;0.9994670501384688;1.0;1.0;1.0
Case27_6;0;6;1;0.5577327816361811;1.0;1.0;1.0
Case29_4;1;4;1;0.999899059723671;1.0;1.0;1.0
Case32_6;1;6;1;0.9998338900206306;1.0;1.0;1.0
Case33_2;1;2;0;0.8772933009954462;1.0;1.0;1.0
Case3_11;0;11;0;0.8156768286852529;1.0;1.0;1.0
Case3_12;0;12;0;0.944194771846684;1.0;1.0;1.0
Case3_4;0;4;1;0.6418244066497911;1.0;1.0;1.0
Case43_8;0;8;0;0.8232298312124244;1.0;1.0;1.0
Case46_11;0;11;0;0.9996679902908944;1.0;1.0;1.0
Case46_7;0;7;1;0.6626790248263752;1.0;1.0;1.0
Case47_6;0;6;0;0.8098333183590363;1.0;1.0;1.0
Case47_7;0;7;0;0.941886311694017;1.0;1.0;1.0
Case4_10;0;10;0;0.5465146479052034;1.0;1.0;1.0
Case6;1;1;1;0.6959479794745345;1.0;1.0;1.0
Case61_10;1;10;1;0.9999999801516986;1.0;1.0;1.0
Case62_2;0;2;0;0.9221109679445484;1.0;1.0;1.0
Case72;0;1;0;0.6985994817559384;1.0;1.0;1.0
Case72_5;0;5;0;0.9233016143146492;1.0;1.0;1.0
Case75_4;1;4;1;0.5132421341403786;1.0;1.0;1.0
Case78_12;1;12;1;0.9978627186984208;1.0;1.0;1.0
Case7_3;0;3;0;0.9450845430824364;1.0;1.0;1.0
Case82;1;1;1;0.9082728611977154;1.0;1.0;1.0
Case83_14;0;14;1;0.9992186037949592;1.0;1.0;1.0
Case84_4;0;4;0;0.9999999998002204;1.0;1.0;1.0
Case86_2;0;2;1;0.9162755499275116;1.0;1.0;1.0
Case86_4;0;4;1;0.9350287250097198;1.0;1.0;1.0
Case89_13;0;13;0;0.9999999732225776;1.0;1.0;1.0
Case90_8;0;8;0;0.9999999879131825;1.0;1.0;1.0
Case91_11;1;11;1;0.9997924150417166;1.0;1.0;1.0
Case91_7;1;7;1;0.999999437326103;1.0;1.0;1.0
Case93;1;1;1;0.9999999714396878;1.0;1.0;1.0
Case95_13;1;13;1;0.999999999985146;1.0;1.0;1.0
Case96_7;0;7;1;0.9997846003820664;1.0;1.0;1.0
Case99_3;0;3;1;0.9999737074006728;1.0;1.0;1.0
Case9_6;0;6;0;0.9994904442954036;1.0;1.0;1.0
