Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability
205385_2;1.0;2.0;0.0;0.5287326646392636;1.0;1.0;1.0;1.0;0.9981498874816696;0.9981498874816696;;1.0;1.0;1.0;1.0;1.0
205797_2;0.0;2.0;0.0;0.5653851160838128;1.0;1.0;1.0;1.0;0.9980779794937092;0.9980779794937092;;1.0;1.0;1.0;1.0;1.0
206438_2;1.0;2.0;0.0;0.5259655675775421;1.0;1.0;1.0;1.0;0.9978486258536012;0.9978486258536012;;1.0;1.0;1.0;1.0;1.0
206615_2;1.0;2.0;0.0;0.5112931514512963;1.0;1.0;1.0;1.0;0.9984700312316648;0.9984700312316648;;1.0;1.0;1.0;1.0;1.0
206672_2;0.0;2.0;0.0;0.5790554796912413;1.0;1.0;1.0;1.0;0.9994257715610704;0.9994257715610704;;1.0;1.0;1.0;1.0;1.0
212118_2;0.0;2.0;0.0;0.5314980873731076;1.0;1.0;1.0;1.0;0.9976443331848264;0.9976443331848264;;1.0;1.0;1.0;1.0;1.0
205876_3;0.0;3.0;0.0;0.5182820739575644;1.0;1.0;1.0;1.0;0.99962418278623;0.99962418278623;;1.0;1.0;;1.0;1.0
206162_3;1.0;3.0;0.0;0.5203381314035134;1.0;1.0;1.0;1.0;0.999727925495796;0.999727925495796;;1.0;1.0;;1.0;1.0
206294_3;0.0;3.0;0.0;0.5653742595754957;1.0;1.0;1.0;0.7865188953488372;0.9998900322753772;0.9998900322753772;;1.0;1.0;;1.0;1.0
207614_3;1.0;3.0;0.0;0.5175087271306018;1.0;1.0;1.0;1.0;0.9996691421922358;0.9996691421922358;;1.0;1.0;;1.0;1.0
209302_3;1.0;3.0;0.0;0.5684543853067844;1.0;1.0;1.0;0.7349261689909763;0.9997852623738732;0.9997852623738732;;1.0;1.0;;1.0;1.0
210032_3;0.0;3.0;0.0;0.5693231135743835;1.0;1.0;1.0;0.5032265242545618;0.9988141029260772;0.9988141029260772;;1.0;1.0;;1.0;1.0
210422_3;0.0;3.0;0.0;0.5645177153956046;1.0;1.0;1.0;0.7931858184561227;0.9998304956119266;0.9998304956119266;;1.0;1.0;;1.0;1.0
214052_3;1.0;3.0;0.0;0.5249797604997489;1.0;1.0;1.0;1.0;0.9997335199358228;0.9997335199358228;;1.0;1.0;;1.0;1.0
204514_4;0.0;4.0;1.0;0.7850089717389556;1.0;1.0;1.0;0.7051114023591089;0.9953024275344784;0.9953024275344784;;1.0;1.0;1.0;1.0;1.0
205433_4;0.0;4.0;1.0;0.7328751370238031;1.0;1.0;1.0;0.7395833333333333;0.9954521229461892;0.9954521229461892;;1.0;1.0;1.0;1.0;1.0
205954_4;1.0;4.0;1.0;0.6939423112160845;1.0;1.0;1.0;0.7974537037037037;0.9938186005047436;0.9938186005047436;;1.0;1.0;1.0;1.0;1.0
206453_4;1.0;4.0;1.0;0.7891045583084918;1.0;1.0;1.0;0.7407834101382489;0.9960333901770452;0.9960333901770452;;1.0;1.0;1.0;1.0;1.0
206483_4;1.0;4.0;1.0;0.7861234956549675;1.0;1.0;1.0;0.7407834101382489;0.9955985165900464;0.9955985165900464;;1.0;1.0;1.0;1.0;1.0
206519_4;1.0;4.0;1.0;0.7844961590094311;1.0;1.0;1.0;0.7554680070642577;0.9848620512860992;0.9848620512860992;;1.0;1.0;1.0;1.0;1.0
207143_4;0.0;4.0;1.0;0.7687965988664899;1.0;1.0;1.0;0.8379896313364055;0.99607992852293;0.99607992852293;;1.0;1.0;1.0;1.0;1.0
209090_4;0.0;4.0;1.0;0.7621252919518361;1.0;1.0;1.0;0.7931034482758621;0.995578643845548;0.995578643845548;;1.0;1.0;1.0;1.0;1.0
205065_5;1.0;5.0;1.0;0.5126035895754161;1.0;1.0;1.0;1.0;0.9981758857496638;0.9981758857496638;;1.0;1.0;1.0;1.0;1.0
205468_5;1.0;5.0;1.0;0.6119502522392217;1.0;1.0;1.0;1.0;0.9985179040221868;0.9985179040221868;;1.0;1.0;1.0;1.0;1.0
205565_5;1.0;5.0;1.0;0.6424404486480689;1.0;1.0;1.0;0.8313878080415045;0.9969102323690412;0.9969102323690412;;1.0;1.0;1.0;1.0;1.0
206621_5;0.0;5.0;1.0;0.6201244565610332;1.0;1.0;1.0;1.0;0.9973282127421098;0.9973282127421098;;1.0;1.0;1.0;1.0;1.0
206880_5;0.0;5.0;1.0;0.5928834706833177;1.0;1.0;1.0;1.0;0.9984282339761242;0.9984282339761242;;1.0;1.0;1.0;1.0;1.0
207359_5;0.0;5.0;1.0;0.6286664282409387;1.0;1.0;1.0;1.0;0.9983320199677579;0.9983320199677579;;1.0;1.0;1.0;1.0;1.0
209742_5;1.0;5.0;1.0;0.6342885066004408;1.0;1.0;1.0;1.0;0.9982847145919094;0.9982847145919094;;1.0;1.0;1.0;1.0;1.0
212563_5;0.0;5.0;1.0;0.6401719775598418;1.0;1.0;1.0;0.8313878080415045;0.9968668917383944;0.9968668917383944;;1.0;1.0;1.0;1.0;1.0
205179_6;0.0;6.0;0.0;0.5492667493189864;1.0;1.0;1.0;0.8428613783995039;0.9992471057024868;0.9992471057024868;;1.0;1.0;1.0;1.0;1.0
207560_6;0.0;6.0;1.0;0.5966549338932815;1.0;1.0;1.0;0.921430689199752;0.9993745102449244;0.9993745102449244;;1.0;1.0;;1.0;1.0
208532_6;1.0;6.0;1.0;0.5099765319541837;1.0;1.0;1.0;0.9098025867937372;0.9989724370765308;0.9989724370765308;;1.0;1.0;1.0;1.0;1.0
208832_6;1.0;6.0;0.0;0.5169529778419422;1.0;1.0;1.0;0.8411318605557387;0.9994580926692096;0.9994580926692096;;1.0;1.0;1.0;1.0;1.0
209604_6;1.0;6.0;0.0;0.532655902908947;1.0;1.0;1.0;0.8714320368723215;0.9988987144396576;0.9988987144396576;;1.0;1.0;1.0;1.0;1.0
210224_6;0.0;6.0;1.0;0.5253732308996346;1.0;1.0;1.0;0.9293207681365576;0.9988828772098456;0.9988828772098456;;1.0;1.0;1.0;1.0;1.0
210815_6;1.0;6.0;0.0;0.5056624363251632;1.0;1.0;1.0;0.933080808080808;0.9991418286642336;0.9991418286642336;;1.0;1.0;1.0;1.0;1.0
212608_6;0.0;6.0;1.0;0.5400979003009261;1.0;1.0;1.0;0.9145787545787546;0.9991507911646428;0.9991507911646428;;1.0;1.0;1.0;1.0;1.0
205897_7;0.0;7.0;1.0;0.6396782953286761;1.0;1.0;1.0;1.0;0.9971516759529192;0.9971516759529192;;1.0;1.0;1.0;1.0;1.0
206099_7;0.0;7.0;1.0;0.615970290945849;1.0;1.0;1.0;1.0;0.9985434104167572;0.9985434104167572;;1.0;1.0;1.0;1.0;1.0
206865_7;1.0;7.0;1.0;0.6275818067990622;1.0;1.0;1.0;0.15446004646934042;0.9977866502980738;0.9977866502980738;;1.0;1.0;1.0;1.0;1.0
209419_7;1.0;7.0;1.0;0.6764077422677609;1.0;1.0;1.0;0.8314606741573033;0.9984259111375984;0.9984259111375984;;1.0;1.0;1.0;1.0;1.0
209511_7;0.0;7.0;1.0;0.6420900456156929;1.0;1.0;1.0;0.8314606741573033;0.9976402869605808;0.9976402869605808;;1.0;1.0;1.0;1.0;1.0
211083_7;1.0;7.0;1.0;0.6037526384970509;1.0;1.0;1.0;0.8314606741573033;0.9982539596560932;0.9982539596560932;;1.0;1.0;1.0;1.0;1.0
211360_7;0.0;7.0;1.0;0.5715017047028316;1.0;1.0;1.0;0.23295454545454555;0.9978445859868992;0.9978445859868992;;1.0;1.0;1.0;1.0;1.0
214238_7;1.0;7.0;1.0;0.6246810272291097;1.0;1.0;1.0;1.0;0.9982206502297841;0.9982206502297841;;1.0;1.0;1.0;1.0;1.0
204730_8;0.0;8.0;1.0;0.6245555223333156;1.0;1.0;1.0;0.8870056497175142;0.9985551652003266;0.9985551652003266;;1.0;1.0;1.0;1.0;1.0
206621_8;0.0;8.0;1.0;0.6927507381654978;1.0;1.0;1.0;0.6045197740112993;0.9980068092827192;0.9980068092827192;;1.0;1.0;1.0;1.0;1.0
207572_8;0.0;8.0;1.0;0.6030015600799761;1.0;1.0;1.0;0.6610169491525424;0.9960183904341882;0.9960183904341882;;1.0;1.0;1.0;1.0;1.0
209505_8;1.0;8.0;1.0;0.599233512669562;1.0;1.0;1.0;0.6610169491525424;0.99693507318834;0.99693507318834;;1.0;1.0;1.0;1.0;1.0
210206_8;1.0;8.0;1.0;0.6143914327835825;1.0;1.0;1.0;0.8096804511278195;0.9973757565048664;0.9973757565048664;;1.0;1.0;1.0;1.0;1.0
212052_8;1.0;8.0;1.0;0.6582667688411411;1.0;1.0;1.0;0.7962264150943397;0.996634770990072;0.996634770990072;;1.0;1.0;1.0;1.0;1.0
212346_8;0.0;8.0;1.0;0.6283120930833447;1.0;1.0;1.0;1.0;0.9977633635040396;0.9977633635040396;;1.0;1.0;1.0;1.0;1.0
213672_8;1.0;8.0;1.0;0.5753302440620214;1.0;1.0;1.0;0.8721590909090909;0.9985643681393428;0.9985643681393428;;1.0;1.0;1.0;1.0;1.0
205583_9;0.0;9.0;0.0;0.5982209386050732;1.0;1.0;1.0;1.0;0.9999995747204528;0.9999995747204528;;1.0;1.0;1.0;1.0;1.0
207488_9;0.0;9.0;1.0;0.5392895919796965;1.0;1.0;1.0;1.0;0.9999996822191932;0.9999996822191932;;1.0;1.0;1.0;1.0;1.0
208310_9;0.0;9.0;0.0;0.6089261541681003;1.0;1.0;1.0;1.0;0.9999996457425862;0.9999996457425862;;1.0;1.0;1.0;1.0;1.0
210119_9;1.0;9.0;0.0;0.518654621939316;1.0;1.0;1.0;1.0;0.9999997084203092;0.9999997084203092;;1.0;1.0;1.0;1.0;1.0
210755_9;0.0;9.0;1.0;0.5904010747876258;1.0;1.0;1.0;1.0;0.9999995949020298;0.9999995949020298;;1.0;1.0;1.0;1.0;1.0
211588_9;1.0;9.0;0.0;0.5549953595841166;1.0;1.0;1.0;1.0;0.9999996482665476;0.9999996482665476;;1.0;1.0;1.0;1.0;1.0
212725_9;1.0;9.0;1.0;0.5839970271878291;1.0;1.0;1.0;1.0;0.9999997110371776;0.9999997110371776;;1.0;1.0;1.0;1.0;1.0
214250_9;1.0;9.0;1.0;0.5581066819775514;1.0;1.0;1.0;1.0;0.9999995776398254;0.9999995776398254;;1.0;1.0;1.0;1.0;1.0
204924_10;1.0;10.0;1.0;0.5048245122823612;1.0;1.0;1.0;1.0;0.9999908793176244;0.9999908793176244;;1.0;1.0;1.0;1.0;1.0
205340_10;0.0;10.0;0.0;0.5418944654158869;1.0;1.0;1.0;1.0;0.9999895907862142;0.9999895907862142;;1.0;1.0;1.0;1.0;1.0
205379_10;0.0;10.0;1.0;0.5295233790004158;1.0;1.0;1.0;1.0;0.9999926530171136;0.9999926530171136;;1.0;1.0;1.0;1.0;1.0
206309_10;1.0;10.0;0.0;0.5150035128688213;1.0;1.0;1.0;0.7373486540496061;0.9999925030405401;0.9999925030405401;;1.0;1.0;1.0;1.0;1.0
206369_10;0.0;10.0;0.0;0.5065226500082877;1.0;1.0;1.0;1.0;0.9999708000305856;0.9999708000305856;;1.0;1.0;1.0;1.0;1.0
206883_10;1.0;10.0;0.0;0.6400571116106328;1.0;1.0;1.0;0.6542524646969534;0.9999807013373452;0.9999807013373452;;1.0;1.0;1.0;1.0;1.0
209664_10;0.0;10.0;0.0;0.5616705639804797;1.0;1.0;1.0;1.0;0.9999907732296908;0.9999907732296908;;1.0;1.0;1.0;1.0;1.0
212917_10;1.0;10.0;0.0;0.5279800488031896;1.0;1.0;1.0;1.0;0.9999569808417816;0.9999569808417816;;1.0;1.0;1.0;1.0;1.0
206240_11;0.0;11.0;0.0;0.5735568754158222;1.0;1.0;1.0;0.8097577696526508;0.999999997953954;0.999999997953954;;1.0;1.0;1.0;1.0;1.0
206357_11;0.0;11.0;1.0;0.6116590357428829;1.0;1.0;1.0;0.8097577696526508;0.9999999979297324;0.9999999979297324;;1.0;1.0;;1.0;1.0
206763_11;0.0;11.0;1.0;0.5456354186132888;1.0;1.0;1.0;0.8097577696526508;0.999999999171751;0.999999999171751;;1.0;1.0;;1.0;1.0
208067_11;1.0;11.0;1.0;0.6083529414095654;1.0;1.0;1.0;0.8097577696526508;0.9999999977053724;0.9999999977053724;;1.0;1.0;;1.0;1.0
209078_11;0.0;11.0;0.0;0.5198425162806637;1.0;1.0;1.0;0.7829770594369134;0.999999997924162;0.999999997924162;;1.0;1.0;1.0;1.0;1.0
209808_11;1.0;11.0;0.0;0.5949491521345649;1.0;1.0;1.0;0.8315118397085609;0.9999999964787708;0.9999999964787708;;1.0;1.0;1.0;1.0;1.0
212875_11;1.0;11.0;0.0;0.5084121911730252;1.0;1.0;1.0;0.6382950990615225;0.9999999986285848;0.9999999986285848;;1.0;1.0;1.0;1.0;1.0
213789_11;1.0;11.0;1.0;0.5078439489584605;1.0;1.0;1.0;0.5963636363636364;0.9999999983322873;0.9999999983322873;;1.0;1.0;;1.0;1.0
204703_12;1.0;12.0;0.0;0.5426204625084496;1.0;1.0;1.0;-0.06223218018394627;0.9999999997803376;0.9999999997803376;;1.0;1.0;1.0;1.0;1.0
204847_12;0.0;12.0;1.0;0.6379891709563635;1.0;1.0;1.0;0.7831692451945617;0.9999999998633065;0.9999999998633065;;1.0;1.0;;1.0;1.0
204897_12;0.0;12.0;1.0;0.5686895857411627;1.0;1.0;1.0;0.8568744473916887;0.9999999995683708;0.9999999995683708;;1.0;1.0;;1.0;1.0
207780_12;1.0;12.0;1.0;0.5843484840288581;1.0;1.0;1.0;1.0;0.9999999997486344;0.9999999997486344;;1.0;1.0;;1.0;1.0
207783_12;1.0;12.0;1.0;0.6322238619139697;1.0;1.0;1.0;0.7786139772364643;0.9999999996907176;0.9999999996907176;;1.0;1.0;;1.0;1.0
210890_12;0.0;12.0;1.0;0.6290796991811815;1.0;1.0;1.0;0.1492166661556863;0.9999999997556388;0.9999999997556388;;1.0;1.0;;1.0;1.0
210987_12;1.0;12.0;1.0;0.5152997483438596;1.0;1.0;1.0;0.7661122661122662;0.9999999997584516;0.9999999997584516;;1.0;1.0;;1.0;1.0
212773_12;0.0;12.0;1.0;0.5418791197129695;1.0;1.0;1.0;1.0;0.9999999996935952;0.9999999996935952;;1.0;1.0;;1.0;1.0
206315_13;0.0;13.0;1.0;0.5817165688698235;1.0;1.0;1.0;0.2605002199884929;0.9978601012608852;0.9978601012608852;;1.0;1.0;1.0;1.0;1.0
206754_13;0.0;13.0;1.0;0.5029050532502894;1.0;1.0;1.0;0.13470873786407744;0.9986961227810228;0.9986961227810228;;1.0;1.0;1.0;1.0;1.0
206865_13;1.0;13.0;1.0;0.521226992924024;1.0;1.0;1.0;0.11027439653393832;0.9988307516663036;0.9988307516663036;;1.0;1.0;1.0;1.0;1.0
206952_13;0.0;13.0;0.0;0.5480018253544603;1.0;1.0;1.0;0.008522539766351978;0.9983354449539678;0.9983354449539678;;1.0;1.0;1.0;1.0;1.0
207852_13;1.0;13.0;1.0;0.5858715735059253;1.0;1.0;1.0;0.06019160558118486;0.9985815999665116;0.9985815999665116;;1.0;1.0;1.0;1.0;1.0
211507_13;1.0;13.0;1.0;0.5118645159812854;1.0;1.0;1.0;0.27427184466019394;0.9986518043340574;0.9986518043340574;;1.0;1.0;1.0;1.0;1.0
213954_13;0.0;13.0;0.0;0.5709804463345689;1.0;1.0;1.0;0.6405077742742198;0.9984122120895886;0.9984122120895886;;1.0;1.0;1.0;1.0;1.0
214277_13;1.0;13.0;1.0;0.5504342166162324;1.0;1.0;1.0;0.07952010936038523;0.998612399681964;0.998612399681964;;1.0;1.0;1.0;1.0;1.0
205086_14;0.0;14.0;1.0;0.5196334673643291;1.0;1.0;1.0;0.5762284330541805;0.9997897989595562;0.9997897989595562;;1.0;1.0;1.0;1.0;1.0
205921_14;0.0;14.0;0.0;0.5660464786958526;1.0;1.0;1.0;0.6670366259711444;0.9998545098226544;0.9998545098226544;;1.0;1.0;1.0;1.0;1.0
206255_14;0.0;14.0;0.0;0.5238891501064724;1.0;1.0;1.0;0.5558845299777946;0.999733747581576;0.999733747581576;;1.0;1.0;1.0;1.0;1.0
206408_14;1.0;14.0;1.0;0.5148363800028759;1.0;1.0;1.0;0.5555555555555559;0.9998604760436779;0.9998604760436779;;1.0;1.0;1.0;1.0;1.0
208556_14;1.0;14.0;0.0;0.5418996083578966;1.0;1.0;1.0;0.5252806872127194;0.9999121040487547;0.9999121040487547;;1.0;1.0;1.0;1.0;1.0
208730_14;1.0;14.0;0.0;0.5689556658367048;1.0;1.0;1.0;0.6379310344827586;0.9996052196507059;0.9996052196507059;;1.0;1.0;1.0;1.0;1.0
210668_14;0.0;14.0;0.0;0.5404060337347674;1.0;1.0;1.0;0.882060018346219;0.9988127028255164;0.9988127028255164;;1.0;1.0;1.0;1.0;1.0
211444_14;1.0;14.0;0.0;0.5523301996272221;1.0;1.0;1.0;0.6923076923076925;0.9997708422477388;0.9997708422477388;;1.0;1.0;1.0;1.0;1.0
